Begrip;Uitleg
Ontwikkelingslanden;Landen waar de productie en de inkomens laag zijn en waar veel mensen in armoede leven.
Ondervoeding;Een tekort aan belangrijke voedingsstoffen, waardoor mensen ongezond worden of ziek blijven.
Analfabetisme;Het percentage mensen van 15 jaar en ouder dat niet kan lezen en schrijven.
Inkomensverdeling;De manier waarop het totale inkomen in een land is verdeeld over de bevolking.
Nationaal inkomen per hoofd van de bevolking;Het gemiddelde inkomen per persoon in een land per jaar.
Nationaal inkomen;De totale som van alle inkomens die in een land in één jaar worden verdiend.
Immigratie;Mensen die vanuit een ander land naar een land toe verhuizen om daar langere tijd te wonen.
Emigratie;Mensen die een land verlaten om in een ander land langere tijd te gaan wonen.
Grondstoffenfonds;Een organisatie die grondstoffen koopt en verkoopt om de prijs zo stabiel mogelijk te houden.
Monocultuur;Situatie waarbij een land vooral afhankelijk is van de export van één grondstof.
Ruilvoet;De verhouding tussen de gemiddelde exportprijzen en de gemiddelde importprijzen van een land.
Multinational;Een groot bedrijf dat vestigingen heeft in meerdere landen.
Noodhulp;Snelle hulp om de ergste gevolgen van een ramp of oorlog te verlichten.
Ontwikkelingssamenwerking;Hulp die rijke landen geven aan ontwikkelingslanden om hun economie en leefomstandigheden te verbeteren.
Structurele hulp;Langdurige hulp die problemen in een ontwikkelingsland blijvend probeert op te lossen.
Gebonden hulp;Hulp waarbij het ontvangende land verplicht is producten te kopen uit het hulpverlenende land.
Ongebonden hulp;Hulp zonder voorwaarden over waar het geld of de goederen besteed moeten worden.
Bilaterale hulp;Hulp die een ontwikkelingsland rechtstreeks van één ander land krijgt (niet via een organisatie zoals de VN).
