Begrip;Uitleg
btw (belasting toegevoegde waarde);Belasting die wordt betaald bij de aankoop van goederen en diensten.
toegevoegde waarde;Het verschil tussen de verkoopopbrengst en de inkopen bij andere bedrijven.
accijns;Belasting waarmee de overheid de consumptie van bepaalde goederen afremt.
motorrijtuigenbelasting;Belasting op het bezit van motorvoertuigen.
houderschapsbelasting;Belasting op het bezit van goederen (zoals voertuigen).
Onroerendezaakbelasting (OZB);Belasting die gemeenten opleggen aan eigenaren van huizen en andere gebouwen.
WOZ-waarde;Door de gemeente vastgestelde waarde van een huis of ander gebouw.
loonheffing;Bedrag dat de werkgever inhoudt op het brutoloon.
jaaropgave;Overzicht dat de werkgever geeft van het loon en de ingehouden loonheffing in een jaar.
belastbaar inkomen;Het inkomen waarop het tarief van de inkomstenbelasting en premies volksverzekeringen van toepassing is.
Inkomstenbelasting en premie volksverzekeringen;Bedrag dat de overheid van iedereen met een inkomen vraagt.
heffingskortingen;Bedragen die in mindering worden gebracht op de verschuldigde inkomstenbelasting en premies volksverzekeringen.
eigenwoningforfait;Bedrag dat huiseigenaren die in hun eigen huis wonen bij hun inkomsten in box 1 moeten optellen.
heffingsgrondslag;Het bedrag dat als uitgangspunt dient voor de berekening van een belasting of heffing.
aftrekposten;Bedragen die van het inkomen afgaan vóór de berekening van de inkomstenbelasting.
schijventarief;De belastingpercentages op verschillende delen van het belastbaar inkomen in box 1.
progressieve belastingheffing;Het belastingpercentage stijgt naarmate het inkomen hoger is.
draagkrachtbeginsel;Mensen met een hoger inkomen betalen meer belasting.
degressieve belastingheffing;Het belastingpercentage daalt naarmate het inkomen hoger is.
vennootschapsbelasting;Belasting over de winst van een bv of nv.
proportionele belastingheffing;Het belastingpercentage blijft gelijk, zowel bij een laag als bij een hoog inkomen.
vermogensrendementsheffing;Belasting die spaarders en beleggers betalen over het rendement van hun vermogen.
bruto-inkomen;Inkomen vóórdat belasting en sociale premies eraf zijn.
besteedbaar inkomen;Inkomen dat overblijft nadat belasting en sociale premies van het bruto-inkomen zijn afgehaald.
begrotingstekort;De verwachte uitgaven zijn hoger dan de verwachte inkomsten.
begrotingsoverschot;De verwachte uitgaven zijn lager dan de verwachte inkomsten.
staatsschuld;Schuld van de rijksoverheid.
niet-belastingmiddelen;Alle inkomsten van de overheid die geen belastingen of sociale premies zijn.
profijtbeginsel;Mensen of bedrijven die profiteren van overheidsdiensten betalen ervoor mee.
solidariteitsbeginsel;De overheid gebruikt belastinggeld om mensen met een laag of geen inkomen te ondersteunen via uitkeringen.
